May 5, 2019 at 2:27:54 PM
ONSET PROD LOG FILE
S0004_B10
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	217733.538943541	A screwdriver is made from vodka and orange juice.	A screwdriver is made from vodka and orange juice.	0
1	1	listen	echolalia	217739.543050416	A screwdriver is made from vodka and orange juice.	A screwdriver is made from vodka and orange juice.	0
2	2	readRepeat	echolalia	217742.644276833	How much allowance do you get?	How much allowance do you get?	0
2	2	listen	echolalia	217746.84351475	How much allowance do you get?	How much allowance do you get?	0
3	3	readRepeat	echolalia	217753.493940541	Cyclical programs will never compile.	Cyclical programs will never compile.	0
3	3	listen	echolalia	217760.811090875	Cyclical programs will never compile.	Cyclical programs will never compile.	0
4	4	readRepeat	echolalia	217768.928201458	The Boston Ballet overcame their funding shortage.	The Boston Ballet overcame their funding shortage.	0
4	4	listen	echolalia	217774.328503458	The Boston Ballet overcame their funding shortage.	The Boston Ballet overcame their funding shortage.	0
5	5	readRepeat	echolalia	217780.812118833	Every cab needs repainting often.	Every cab needs repainting often.	0
5	5	listen	echolalia	217785.812064958	Every cab needs repainting often.	Every cab needs repainting often.	0
6	6	readRepeat	echolalia	217791.512467916	Help Greg to pick a peck of potatoes.	Help Greg to pick a peck of potatoes.	0
6	6	listen	echolalia	217796.412716916	Help Greg to pick a peck of potatoes.	Help Greg to pick a peck of potatoes.	0
7	7	readRepeat	echolalia	217801.863360541	We like blue cheese but Victor likes brie.	We like blue cheese but Victor likes brie.	0
7	7	listen	echolalia	217807.0639295	We like blue cheese but Victor likes brie.	We like blue cheese but Victor likes brie.	0
8	8	readRepeat	echolalia	217812.963540416	Count the number of teaspoons of soysauce that you add.	Count the number of teaspoons of soysauce that you add.	0
8	8	listen	echolalia	217818.5956915	Count the number of teaspoons of soysauce that you add.	Count the number of teaspoons of soysauce that you add.	0
9	9	readRepeat	echolalia	217824.92985275	Bagpipes and bongos are musical instruments.	Bagpipes and bongos are musical instruments.	0
9	9	listen	echolalia	217830.281234791	Bagpipes and bongos are musical instruments.	Bagpipes and bongos are musical instruments.	0
10	10	readRepeat	echolalia	217836.464369333	How good is your endurance?	How good is your endurance?	0
10	10	listen	echolalia	217840.649049875	How good is your endurance?	How good is your endurance?	0
11	11	readRepeat	echolalia	217845.915978083	The essay undeniably reflects our view ably.	The essay undeniably reflects our view ably.	0
11	11	listen	echolalia	217852.999432458	The essay undeniably reflects our view ably.	The essay undeniably reflects our view ably.	0
12	12	readRepeat	echolalia	217860.766101416	A boring novel is a superb sleeping pill.	A boring novel is a superb sleeping pill.	0
12	12	listen	echolalia	217869.500267958	A boring novel is a superb sleeping pill.	A boring novel is a superb sleeping pill.	0
13	13	readRepeat	echolalia	217878.984300208	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
13	13	listen	echolalia	217883.4842665	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
14	14	readRepeat	echolalia	217889.117937291	The willowy woman wore a muskrat coat.	The willowy woman wore a muskrat coat.	0
14	14	listen	echolalia	217895.767732541	The willowy woman wore a muskrat coat.	The willowy woman wore a muskrat coat.	0
15	15	readRepeat	echolalia	217903.619036625	The misquote was retracted with an apology.	The misquote was retracted with an apology.	0
15	15	listen	echolalia	217909.286975791	The misquote was retracted with an apology.	The misquote was retracted with an apology.	0
16	16	readRepeat	echolalia	217915.586059125	I just saw Jim near the new archeological museum.	I just saw Jim near the new archeological museum.	0
16	16	listen	echolalia	217922.336593625	I just saw Jim near the new archeological museum.	I just saw Jim near the new archeological museum.	0
17	17	readRepeat	echolalia	217929.770657166	Right now may not be the best time for business mergers.	Right now may not be the best time for business mergers.	0
17	17	listen	echolalia	217936.60365125	Right now may not be the best time for business mergers.	Right now may not be the best time for business mergers.	0
18	18	readRepeat	echolalia	217944.23766025	The misprint provoked an immediate disclaimer.	The misprint provoked an immediate disclaimer.	0
18	18	listen	echolalia	217950.605050958	The misprint provoked an immediate disclaimer.	The misprint provoked an immediate disclaimer.	0
19	19	readRepeat	echolalia	217957.605049416	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
19	19	listen	echolalia	217962.138517583	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
20	20	readRepeat	echolalia	217967.505687583	Do atypical farmers grow oats?	Do atypical farmers grow oats?	0
20	20	listen	echolalia	217974.206038416	Do atypical farmers grow oats?	Do atypical farmers grow oats?	0
0	0	break	break	217981.806936125	break	break	break
1	21	readRepeat	shuffled	217981.806936125	A screwdriver is made from vodka and orange juice.	Cyclical programs will never compile.	0
1	21	listen	shuffled	218006.425106583	A screwdriver is made from vodka and orange juice.	Cyclical programs will never compile.	0
2	22	readRepeat	shuffled	218014.392170583	How much allowance do you get?	They all enjoy ice cream sundaes.	0
2	22	listen	shuffled	218018.609164291	How much allowance do you get?	They all enjoy ice cream sundaes.	0
3	23	readRepeat	shuffled	218023.842195833	Cyclical programs will never compile.	How much allowance do you get?	0
3	23	listen	shuffled	218028.509589583	Cyclical programs will never compile.	How much allowance do you get?	0
4	24	readRepeat	shuffled	218033.52600525	The Boston Ballet overcame their funding shortage.	The misprint provoked an immediate disclaimer.	0
4	24	listen	shuffled	218038.276428916	The Boston Ballet overcame their funding shortage.	The misprint provoked an immediate disclaimer.	0
5	25	readRepeat	shuffled	218045.143281416	Every cab needs repainting often.	We like blue cheese but Victor likes brie.	0
5	25	listen	shuffled	218049.810805791	Every cab needs repainting often.	We like blue cheese but Victor likes brie.	0
6	26	readRepeat	shuffled	218055.977279916	Help Greg to pick a peck of potatoes.	Count the number of teaspoons of soysauce that you add.	0
6	26	listen	shuffled	218060.344533166	Help Greg to pick a peck of potatoes.	Count the number of teaspoons of soysauce that you add.	0
7	27	readRepeat	shuffled	218066.678800083	We like blue cheese but Victor likes brie.	How good is your endurance?	0
7	27	listen	shuffled	218071.411835333	We like blue cheese but Victor likes brie.	How good is your endurance?	0
8	28	readRepeat	shuffled	218076.578557375	Count the number of teaspoons of soysauce that you add.	The willowy woman wore a muskrat coat.	0
8	28	listen	shuffled	218081.695914625	Count the number of teaspoons of soysauce that you add.	The willowy woman wore a muskrat coat.	0
9	29	readRepeat	shuffled	218090.563064458	Bagpipes and bongos are musical instruments.	Bagpipes and bongos are musical instruments.	0
9	29	listen	shuffled	218095.663139041	Bagpipes and bongos are musical instruments.	Bagpipes and bongos are musical instruments.	0
10	30	readRepeat	shuffled	218106.063599	How good is your endurance?	A screwdriver is made from vodka and orange juice.	0
10	30	listen	shuffled	218110.597072416	How good is your endurance?	A screwdriver is made from vodka and orange juice.	0
11	31	readRepeat	shuffled	218113.797882291	The essay undeniably reflects our view ably.	The essay undeniably reflects our view ably.	0
11	31	listen	shuffled	218120.297703333	The essay undeniably reflects our view ably.	The essay undeniably reflects our view ably.	0
12	32	readRepeat	shuffled	218128.064975166	A boring novel is a superb sleeping pill.	Do atypical farmers grow oats?	0
12	32	listen	shuffled	218133.364971458	A boring novel is a superb sleeping pill.	Do atypical farmers grow oats?	0
13	33	readRepeat	shuffled	218140.815754625	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
13	33	listen	shuffled	218145.798427833	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
14	34	readRepeat	shuffled	218150.998476333	The willowy woman wore a muskrat coat.	Right now may not be the best time for business mergers.	0
14	34	listen	shuffled	218156.316398541	The willowy woman wore a muskrat coat.	Right now may not be the best time for business mergers.	0
15	35	readRepeat	shuffled	218164.050354458	The misquote was retracted with an apology.	The Boston Ballet overcame their funding shortage.	0
15	35	listen	shuffled	218169.283629125	The misquote was retracted with an apology.	The Boston Ballet overcame their funding shortage.	0
16	36	readRepeat	shuffled	218175.467784708	I just saw Jim near the new archeological museum.	A boring novel is a superb sleeping pill.	0
16	36	listen	shuffled	218182.001458958	I just saw Jim near the new archeological museum.	A boring novel is a superb sleeping pill.	0
17	37	readRepeat	shuffled	218191.36841175	Right now may not be the best time for business mergers.	Help Greg to pick a peck of potatoes.	0
17	37	listen	shuffled	218196.851925666	Right now may not be the best time for business mergers.	Help Greg to pick a peck of potatoes.	0
18	38	readRepeat	shuffled	218202.552802333	The misprint provoked an immediate disclaimer.	Every cab needs repainting often.	0
18	38	listen	shuffled	218207.4360175	The misprint provoked an immediate disclaimer.	Every cab needs repainting often.	0
19	39	readRepeat	shuffled	218213.252245416	They all enjoy ice cream sundaes.	The misquote was retracted with an apology.	0
19	39	listen	shuffled	218217.386950333	They all enjoy ice cream sundaes.	The misquote was retracted with an apology.	0
20	40	readRepeat	shuffled	218223.637147875	Do atypical farmers grow oats?	I just saw Jim near the new archeological museum.	0
20	40	listen	shuffled	218229.020874291	Do atypical farmers grow oats?	I just saw Jim near the new archeological museum.	0

