February 14, 2020 at 5:19:23 PM
ONSET PROD LOG FILE
S0006_B3
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	1153822.203136416	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
1	1	listen	echolalia	1153830.385711041	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
2	2	readRepeat	echolalia	1153832.969219958	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
2	2	listen	echolalia	1153838.519454833	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
3	3	readRepeat	echolalia	1153844.8361745	John's brother repainted the garage door.	John's brother repainted the garage door.	0
3	3	listen	echolalia	1153849.670603333	John's brother repainted the garage door.	John's brother repainted the garage door.	0
4	4	readRepeat	echolalia	1153856.086781375	Challenge each general's intelligence.	Challenge each general's intelligence.	0
4	4	listen	echolalia	1153861.037274291	Challenge each general's intelligence.	Challenge each general's intelligence.	0
5	5	readRepeat	echolalia	1153866.637388666	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
5	5	listen	echolalia	1153871.804407583	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
6	6	readRepeat	echolalia	1153877.538270041	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
6	6	listen	echolalia	1153882.205063916	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
7	7	readRepeat	echolalia	1153887.605474125	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
7	7	listen	echolalia	1153892.539091875	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
8	8	readRepeat	echolalia	1153898.206367791	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
8	8	listen	echolalia	1153903.089671708	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
9	9	readRepeat	echolalia	1153908.556654458	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
9	9	listen	echolalia	1153913.590589	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
10	10	readRepeat	echolalia	1153919.423997041	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
10	10	listen	echolalia	1153926.790066	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
11	11	readRepeat	echolalia	1153934.658086958	Her wardrobe consists of only skirts and blouses.	Her wardrobe consists of only skirts and blouses.	0
11	11	listen	echolalia	1153940.742455833	Her wardrobe consists of only skirts and blouses.	Her wardrobe consists of only skirts and blouses.	0
12	12	readRepeat	echolalia	1153947.875738458	The two artists exchanged autographs.	The two artists exchanged autographs.	0
12	12	listen	echolalia	1153952.759468125	The two artists exchanged autographs.	The two artists exchanged autographs.	0
13	13	readRepeat	echolalia	1153958.676378666	Butterscotch fudge goes well with vanilla ice cream.	Butterscotch fudge goes well with vanilla ice cream.	0
13	13	listen	echolalia	1153963.993235791	Butterscotch fudge goes well with vanilla ice cream.	Butterscotch fudge goes well with vanilla ice cream.	0
14	14	readRepeat	echolalia	1153969.843022625	Rich purchased several signed lithographs.	Rich purchased several signed lithographs.	0
14	14	listen	echolalia	1153975.926210291	Rich purchased several signed lithographs.	Rich purchased several signed lithographs.	0
15	15	readRepeat	echolalia	1153982.560924708	Any contributions will be greatly appreciated.	Any contributions will be greatly appreciated.	0
15	15	listen	echolalia	1153987.894296	Any contributions will be greatly appreciated.	Any contributions will be greatly appreciated.	0
16	16	readRepeat	echolalia	1153994.495122375	The cranberry bog gets very pretty in Autumn.	The cranberry bog gets very pretty in Autumn.	0
16	16	listen	echolalia	1154000.161753625	The cranberry bog gets very pretty in Autumn.	The cranberry bog gets very pretty in Autumn.	0
17	17	readRepeat	echolalia	1154015.079201125	How do oysters make pearls?	How do oysters make pearls?	0
17	17	listen	echolalia	1154019.729829333	How do oysters make pearls?	How do oysters make pearls?	0
18	18	readRepeat	echolalia	1154024.746753458	May I order a parfait after I eat dinner?	May I order a parfait after I eat dinner?	0
18	18	listen	echolalia	1154030.197677958	May I order a parfait after I eat dinner?	May I order a parfait after I eat dinner?	0
19	19	readRepeat	echolalia	1154036.213980375	Is she going with you?	Is she going with you?	0
19	19	listen	echolalia	1154040.13122225	Is she going with you?	Is she going with you?	0
20	20	readRepeat	echolalia	1154044.86412425	Can the agency overthrow alien forces?	Can the agency overthrow alien forces?	0
20	20	listen	echolalia	1154050.130032625	Can the agency overthrow alien forces?	Can the agency overthrow alien forces?	0
0	0	break	break	1154056.331597916	break	break	break
1	21	readRepeat	shuffled	1154056.331597916	Draw every outer line first, then fill in the interior.	Her wardrobe consists of only skirts and blouses.	0
1	21	listen	shuffled	1154075.482879541	Draw every outer line first, then fill in the interior.	Her wardrobe consists of only skirts and blouses.	0
2	22	readRepeat	shuffled	1154082.050187208	The water contained too much chlorine and stung his eyes.	Challenge each general's intelligence.	0
2	22	listen	shuffled	1154087.383177958	The water contained too much chlorine and stung his eyes.	Challenge each general's intelligence.	0
3	23	readRepeat	shuffled	1154093.033744625	John's brother repainted the garage door.	The rose corsage smelled sweet.	0
3	23	listen	shuffled	1154097.636073125	John's brother repainted the garage door.	The rose corsage smelled sweet.	0
4	24	readRepeat	shuffled	1154103.150633541	Challenge each general's intelligence.	The water contained too much chlorine and stung his eyes.	0
4	24	listen	shuffled	1154107.384480291	Challenge each general's intelligence.	The water contained too much chlorine and stung his eyes.	0
5	25	readRepeat	shuffled	1154113.7179865	Ambidextrous pickpockets accomplish more.	May I order a parfait after I eat dinner?	0
5	25	listen	shuffled	1154118.435709041	Ambidextrous pickpockets accomplish more.	May I order a parfait after I eat dinner?	0
6	26	readRepeat	shuffled	1154124.485392	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
6	26	listen	shuffled	1154129.218908125	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
7	27	readRepeat	shuffled	1154134.6524275	They own a big house in the remote countryside.	Can the agency overthrow alien forces?	0
7	27	listen	shuffled	1154139.302958041	They own a big house in the remote countryside.	Can the agency overthrow alien forces?	0
8	28	readRepeat	shuffled	1154145.569719541	The rose corsage smelled sweet.	Rich purchased several signed lithographs.	0
8	28	listen	shuffled	1154149.953389666	The rose corsage smelled sweet.	Rich purchased several signed lithographs.	0
9	29	readRepeat	shuffled	1154156.753828	That pickpocket was caught red-handed.	Any contributions will be greatly appreciated.	0
9	29	listen	shuffled	1154161.170929333	That pickpocket was caught red-handed.	Any contributions will be greatly appreciated.	0
10	30	readRepeat	shuffled	1154167.271083791	An adult male baboon's teeth are not suitable for eating shellfish.	The cranberry bog gets very pretty in Autumn.	0
10	30	listen	shuffled	1154172.919773666	An adult male baboon's teeth are not suitable for eating shellfish.	The cranberry bog gets very pretty in Autumn.	0
11	31	readRepeat	shuffled	1154179.321732791	Her wardrobe consists of only skirts and blouses.	An adult male baboon's teeth are not suitable for eating shellfish.	0
11	31	listen	shuffled	1154184.838699	Her wardrobe consists of only skirts and blouses.	An adult male baboon's teeth are not suitable for eating shellfish.	0
12	32	readRepeat	shuffled	1154192.822325041	The two artists exchanged autographs.	They own a big house in the remote countryside.	0
12	32	listen	shuffled	1154197.506533625	The two artists exchanged autographs.	They own a big house in the remote countryside.	0
13	33	readRepeat	shuffled	1154203.189699291	Butterscotch fudge goes well with vanilla ice cream.	Ambidextrous pickpockets accomplish more.	0
13	33	listen	shuffled	1154208.006668833	Butterscotch fudge goes well with vanilla ice cream.	Ambidextrous pickpockets accomplish more.	0
14	34	readRepeat	shuffled	1154213.973801833	Rich purchased several signed lithographs.	The two artists exchanged autographs.	0
14	34	listen	shuffled	1154219.14377175	Rich purchased several signed lithographs.	The two artists exchanged autographs.	0
15	35	readRepeat	shuffled	1154224.540882291	Any contributions will be greatly appreciated.	That pickpocket was caught red-handed.	0
15	35	listen	shuffled	1154229.358463333	Any contributions will be greatly appreciated.	That pickpocket was caught red-handed.	0
16	36	readRepeat	shuffled	1154235.108680541	The cranberry bog gets very pretty in Autumn.	John's brother repainted the garage door.	0
16	36	listen	shuffled	1154239.825189291	The cranberry bog gets very pretty in Autumn.	John's brother repainted the garage door.	0
17	37	readRepeat	shuffled	1154245.742131333	How do oysters make pearls?	Butterscotch fudge goes well with vanilla ice cream.	0
17	37	listen	shuffled	1154250.059367125	How do oysters make pearls?	Butterscotch fudge goes well with vanilla ice cream.	0
18	38	readRepeat	shuffled	1154256.293096166	May I order a parfait after I eat dinner?	Draw every outer line first, then fill in the interior.	0
18	38	listen	shuffled	1154260.895906166	May I order a parfait after I eat dinner?	Draw every outer line first, then fill in the interior.	0
19	39	readRepeat	shuffled	1154264.526576208	Is she going with you?	Is she going with you?	0
19	39	listen	shuffled	1154268.593554125	Is she going with you?	Is she going with you?	0
20	40	readRepeat	shuffled	1154273.17562625	Can the agency overthrow alien forces?	How do oysters make pearls?	0
20	40	listen	shuffled	1154278.077295708	Can the agency overthrow alien forces?	How do oysters make pearls?	0

