May 7, 2021 at 11:10:47 AM
ONSET PROD LOG FILE
S0010_B1
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	176291.647103791	Are your grades higher or lower than Nancy's?	Are your grades higher or lower than Nancy's?	0
1	1	listen	echolalia	176299.161615583	Are your grades higher or lower than Nancy's?	Are your grades higher or lower than Nancy's?	0
2	2	readRepeat	echolalia	176301.977794708	She wore warm, fleecy, woolen overalls.	She wore warm, fleecy, woolen overalls.	0
2	2	listen	echolalia	176308.861647125	She wore warm, fleecy, woolen overalls.	She wore warm, fleecy, woolen overalls.	0
3	3	readRepeat	echolalia	176317.512260833	Reading in poor light gives you eyestrain.	Reading in poor light gives you eyestrain.	0
3	3	listen	echolalia	176323.845822583	Reading in poor light gives you eyestrain.	Reading in poor light gives you eyestrain.	0
4	4	readRepeat	echolalia	176331.446188375	Even I occasionally get the Monday blues!	Even I occasionally get the Monday blues!	0
4	4	listen	echolalia	176338.179839958	Even I occasionally get the Monday blues!	Even I occasionally get the Monday blues!	0
5	5	readRepeat	echolalia	176345.946838166	We are open every Monday evening.	We are open every Monday evening.	0
5	5	listen	echolalia	176351.631279458	We are open every Monday evening.	We are open every Monday evening.	0
6	6	readRepeat	echolalia	176358.564431	It's not easy to create illuminating examples.	It's not easy to create illuminating examples.	0
6	6	listen	echolalia	176365.764911958	It's not easy to create illuminating examples.	It's not easy to create illuminating examples.	0
7	7	readRepeat	echolalia	176374.482140583	Mum strongly dislikes appetizers.	Mum strongly dislikes appetizers.	0
7	7	listen	echolalia	176381.349266833	Mum strongly dislikes appetizers.	Mum strongly dislikes appetizers.	0
8	8	readRepeat	echolalia	176389.433099833	Those who teach values first abolish cheating.	Those who teach values first abolish cheating.	0
8	8	listen	echolalia	176396.033216125	Those who teach values first abolish cheating.	Those who teach values first abolish cheating.	0
9	9	readRepeat	echolalia	176403.716028041	The frightened child was gently subdued by his big brother.	The frightened child was gently subdued by his big brother.	0
9	9	listen	echolalia	176410.917301416	The frightened child was gently subdued by his big brother.	The frightened child was gently subdued by his big brother.	0
10	10	readRepeat	echolalia	176419.851822291	Even a simple vocabulary contains symbols.	Even a simple vocabulary contains symbols.	0
10	10	listen	echolalia	176426.465781666	Even a simple vocabulary contains symbols.	Even a simple vocabulary contains symbols.	0
11	11	readRepeat	echolalia	176434.551468041	A crab challenged me, but a quick stab vanquished him.	A crab challenged me, but a quick stab vanquished him.	0
11	11	listen	echolalia	176441.9195685	A crab challenged me, but a quick stab vanquished him.	A crab challenged me, but a quick stab vanquished him.	0
12	12	readRepeat	echolalia	176450.353244	Glucose and fructose are natural sugars found in fruit.	Glucose and fructose are natural sugars found in fruit.	0
12	12	listen	echolalia	176457.170200791	Glucose and fructose are natural sugars found in fruit.	Glucose and fructose are natural sugars found in fruit.	0
13	13	readRepeat	echolalia	176464.903646333	Are you looking for employment?	Are you looking for employment?	0
13	13	listen	echolalia	176472.169361125	Are you looking for employment?	Are you looking for employment?	0
14	14	readRepeat	echolalia	176480.80505575	Coffee is grown on steep, jungle-like slopes in temperate zones.	Coffee is grown on steep, jungle-like slopes in temperate zones.	0
14	14	listen	echolalia	176489.955014833	Coffee is grown on steep, jungle-like slopes in temperate zones.	Coffee is grown on steep, jungle-like slopes in temperate zones.	0
15	15	readRepeat	echolalia	176502.20567025	We welcome many new students each year.	We welcome many new students each year.	0
15	15	listen	echolalia	176509.02311825	We welcome many new students each year.	We welcome many new students each year.	0
16	16	readRepeat	echolalia	176516.940754125	Only the best players enjoy popularity.	Only the best players enjoy popularity.	0
16	16	listen	echolalia	176522.589341208	Only the best players enjoy popularity.	Only the best players enjoy popularity.	0
17	17	readRepeat	echolalia	176529.123894583	Calcium makes bones and teeth strong.	Calcium makes bones and teeth strong.	0
17	17	listen	echolalia	176534.72418	Calcium makes bones and teeth strong.	Calcium makes bones and teeth strong.	0
18	18	readRepeat	echolalia	176541.5584015	Nothing is as offensive as innocence.	Nothing is as offensive as innocence.	0
18	18	listen	echolalia	176548.575830666	Nothing is as offensive as innocence.	Nothing is as offensive as innocence.	0
19	19	readRepeat	echolalia	176556.840548291	Steve wore a bright red cashmere sweater.	Steve wore a bright red cashmere sweater.	0
19	19	listen	echolalia	176562.426216041	Steve wore a bright red cashmere sweater.	Steve wore a bright red cashmere sweater.	0
20	20	readRepeat	echolalia	176569.12636125	Barb's gold bracelet was a graduation present.	Barb's gold bracelet was a graduation present.	0
20	20	listen	echolalia	176575.442988458	Barb's gold bracelet was a graduation present.	Barb's gold bracelet was a graduation present.	0
0	0	break	break	176583.393726041	break	break	break
1	21	readRepeat	shuffled	176583.393726041	Are your grades higher or lower than Nancy's?	Glucose and fructose are natural sugars found in fruit.	0
1	21	listen	shuffled	176600.095184125	Are your grades higher or lower than Nancy's?	Glucose and fructose are natural sugars found in fruit.	0
2	22	readRepeat	shuffled	176609.2950165	She wore warm, fleecy, woolen overalls.	Barb's gold bracelet was a graduation present.	0
2	22	listen	shuffled	176615.928597916	She wore warm, fleecy, woolen overalls.	Barb's gold bracelet was a graduation present.	0
3	23	readRepeat	shuffled	176623.596211041	Reading in poor light gives you eyestrain.	Nothing is as offensive as innocence.	0
3	23	listen	shuffled	176629.546232708	Reading in poor light gives you eyestrain.	Nothing is as offensive as innocence.	0
4	24	readRepeat	shuffled	176637.946762708	Even I occasionally get the Monday blues!	Only the best players enjoy popularity.	0
4	24	listen	shuffled	176643.747198875	Even I occasionally get the Monday blues!	Only the best players enjoy popularity.	0
5	25	readRepeat	shuffled	176650.6309375	We are open every Monday evening.	The frightened child was gently subdued by his big brother.	0
5	25	listen	shuffled	176657.047979291	We are open every Monday evening.	The frightened child was gently subdued by his big brother.	0
6	26	readRepeat	shuffled	176665.698542375	It's not easy to create illuminating examples.	Mum strongly dislikes appetizers.	0
6	26	listen	shuffled	176671.848564708	It's not easy to create illuminating examples.	Mum strongly dislikes appetizers.	0
7	27	readRepeat	shuffled	176684.082723125	Mum strongly dislikes appetizers.	Are your grades higher or lower than Nancy's?	0
7	27	listen	shuffled	176689.933073083	Mum strongly dislikes appetizers.	Are your grades higher or lower than Nancy's?	0
8	28	readRepeat	shuffled	176692.68320675	Those who teach values first abolish cheating.	Are you looking for employment?	0
8	28	listen	shuffled	176698.70089425	Those who teach values first abolish cheating.	Are you looking for employment?	0
9	29	readRepeat	shuffled	176707.017431708	The frightened child was gently subdued by his big brother.	Reading in poor light gives you eyestrain.	0
9	29	listen	shuffled	176713.184446291	The frightened child was gently subdued by his big brother.	Reading in poor light gives you eyestrain.	0
10	30	readRepeat	shuffled	176720.768720833	Even a simple vocabulary contains symbols.	We are open every Monday evening.	0
10	30	listen	shuffled	176726.501877583	Even a simple vocabulary contains symbols.	We are open every Monday evening.	0
11	31	readRepeat	shuffled	176734.485929458	A crab challenged me, but a quick stab vanquished him.	We welcome many new students each year.	0
11	31	listen	shuffled	176740.869217541	A crab challenged me, but a quick stab vanquished him.	We welcome many new students each year.	0
12	32	readRepeat	shuffled	176748.686469583	Glucose and fructose are natural sugars found in fruit.	A crab challenged me, but a quick stab vanquished him.	0
12	32	listen	shuffled	176754.936842666	Glucose and fructose are natural sugars found in fruit.	A crab challenged me, but a quick stab vanquished him.	0
13	33	readRepeat	shuffled	176765.287255833	Are you looking for employment?	Even I occasionally get the Monday blues!	0
13	33	listen	shuffled	176770.287918875	Are you looking for employment?	Even I occasionally get the Monday blues!	0
14	34	readRepeat	shuffled	176777.937885666	Coffee is grown on steep, jungle-like slopes in temperate zones.	Even a simple vocabulary contains symbols.	0
14	34	listen	shuffled	176786.188613625	Coffee is grown on steep, jungle-like slopes in temperate zones.	Even a simple vocabulary contains symbols.	0
15	35	readRepeat	shuffled	176794.506369541	We welcome many new students each year.	Steve wore a bright red cashmere sweater.	0
15	35	listen	shuffled	176799.754821666	We welcome many new students each year.	Steve wore a bright red cashmere sweater.	0
16	36	readRepeat	shuffled	176806.755123583	Only the best players enjoy popularity.	She wore warm, fleecy, woolen overalls.	0
16	36	listen	shuffled	176812.023423666	Only the best players enjoy popularity.	She wore warm, fleecy, woolen overalls.	0
17	37	readRepeat	shuffled	176820.657045791	Calcium makes bones and teeth strong.	Calcium makes bones and teeth strong.	0
17	37	listen	shuffled	176826.240805458	Calcium makes bones and teeth strong.	Calcium makes bones and teeth strong.	0
18	38	readRepeat	shuffled	176834.189795916	Nothing is as offensive as innocence.	Those who teach values first abolish cheating.	0
18	38	listen	shuffled	176839.724919333	Nothing is as offensive as innocence.	Those who teach values first abolish cheating.	0
19	39	readRepeat	shuffled	176848.4086265	Steve wore a bright red cashmere sweater.	Coffee is grown on steep, jungle-like slopes in temperate zones.	0
19	39	listen	shuffled	176853.758970208	Steve wore a bright red cashmere sweater.	Coffee is grown on steep, jungle-like slopes in temperate zones.	0
20	40	readRepeat	shuffled	176864.2596825	Barb's gold bracelet was a graduation present.	It's not easy to create illuminating examples.	0
20	40	listen	shuffled	176869.976789625	Barb's gold bracelet was a graduation present.	It's not easy to create illuminating examples.	0
1	1	readRepeat	echolalia	176976.38923725	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
1	1	listen	echolalia	176984.499677875	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
2	2	readRepeat	echolalia	176987.866926375	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
2	2	listen	echolalia	176994.600050791	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
3	3	readRepeat	echolalia	177002.500585583	John's brother repainted the garage door.	John's brother repainted the garage door.	0
3	3	listen	echolalia	177007.78346625	John's brother repainted the garage door.	John's brother repainted the garage door.	0
4	4	readRepeat	echolalia	177014.268452583	Challenge each general's intelligence.	Challenge each general's intelligence.	0
4	4	listen	echolalia	177020.151602458	Challenge each general's intelligence.	Challenge each general's intelligence.	0
5	5	readRepeat	echolalia	177027.852169125	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
5	5	listen	echolalia	177035.186486833	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
6	6	readRepeat	echolalia	177044.452903125	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
6	6	listen	echolalia	177054.286830541	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
7	7	readRepeat	echolalia	177064.922033041	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
7	7	listen	echolalia	177071.104077666	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
8	8	readRepeat	echolalia	177078.221514583	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
8	8	listen	echolalia	177086.789209	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
9	9	readRepeat	echolalia	177096.556049833	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
9	9	listen	echolalia	177102.889271583	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
10	10	readRepeat	echolalia	177111.340615083	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
10	10	listen	echolalia	177120.307457875	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
11	11	readRepeat	echolalia	177130.85826425	Her wardrobe consists of only skirts and blouses.	Her wardrobe consists of only skirts and blouses.	0
11	11	listen	echolalia	177136.991720333	Her wardrobe consists of only skirts and blouses.	Her wardrobe consists of only skirts and blouses.	0
