June 24, 2022 at 2:53:22 PM
ONSET PROD LOG FILE
S0020_B5
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	1477510.550693583	Addition and subtraction are learned skills.	Addition and subtraction are learned skills.	0
1	1	listen	echolalia	1477518.428460541	Addition and subtraction are learned skills.	Addition and subtraction are learned skills.	0
2	2	readRepeat	echolalia	1477522.115565208	How much allowance do you get?	How much allowance do you get?	0
2	2	listen	echolalia	1477528.278738166	How much allowance do you get?	How much allowance do you get?	0
3	3	readRepeat	echolalia	1477534.878098666	Cyclical programs will never compile.	Cyclical programs will never compile.	0
3	3	listen	echolalia	1477544.265771291	Cyclical programs will never compile.	Cyclical programs will never compile.	0
4	4	readRepeat	echolalia	1477554.290322833	The Boston Ballet overcame their funding shortage.	The Boston Ballet overcame their funding shortage.	0
4	4	listen	echolalia	1477561.853705208	The Boston Ballet overcame their funding shortage.	The Boston Ballet overcame their funding shortage.	0
5	5	readRepeat	echolalia	1477570.116007583	Every cab needs repainting often.	Every cab needs repainting often.	0
5	5	listen	echolalia	1477576.978516041	Every cab needs repainting often.	Every cab needs repainting often.	0
6	6	readRepeat	echolalia	1477584.678769791	Help Greg to pick a peck of potatoes.	Help Greg to pick a peck of potatoes.	0
6	6	listen	echolalia	1477591.865964583	Help Greg to pick a peck of potatoes.	Help Greg to pick a peck of potatoes.	0
7	7	readRepeat	echolalia	1477600.103807958	We like blue cheese but Victor likes brie.	We like blue cheese but Victor likes brie.	0
7	7	listen	echolalia	1477607.080039375	We like blue cheese but Victor likes brie.	We like blue cheese but Victor likes brie.	0
8	8	readRepeat	echolalia	1477614.864118291	Count the number of teaspoons of soysauce that you add.	Count the number of teaspoons of soysauce that you add.	0
8	8	listen	echolalia	1477622.303645291	Count the number of teaspoons of soysauce that you add.	Count the number of teaspoons of soysauce that you add.	0
9	9	readRepeat	echolalia	1477630.391265458	Bagpipes and bongos are musical instruments.	Bagpipes and bongos are musical instruments.	0
9	9	listen	echolalia	1477638.766214833	Bagpipes and bongos are musical instruments.	Bagpipes and bongos are musical instruments.	0
10	10	readRepeat	echolalia	1477647.778426041	How good is your endurance?	How good is your endurance?	0
10	10	listen	echolalia	1477653.204132041	How good is your endurance?	How good is your endurance?	0
11	11	readRepeat	echolalia	1477659.50390375	The essay undeniably reflects our view ably.	The essay undeniably reflects our view ably.	0
11	11	listen	echolalia	1477667.578979416	The essay undeniably reflects our view ably.	The essay undeniably reflects our view ably.	0
12	12	readRepeat	echolalia	1477676.411904166	A boring novel is a superb sleeping pill.	A boring novel is a superb sleeping pill.	0
12	12	listen	echolalia	1477684.866855	A boring novel is a superb sleeping pill.	A boring novel is a superb sleeping pill.	0
13	13	readRepeat	echolalia	1477693.96676275	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
13	13	listen	echolalia	1477700.554160041	Orange juice tastes funny after toothpaste.	Orange juice tastes funny after toothpaste.	0
14	14	readRepeat	echolalia	1477707.841885166	The willowy woman wore a muskrat coat.	The willowy woman wore a muskrat coat.	0
14	14	listen	echolalia	1477716.429965	The willowy woman wore a muskrat coat.	The willowy woman wore a muskrat coat.	0
15	15	readRepeat	echolalia	1477726.179053458	The misquote was retracted with an apology.	The misquote was retracted with an apology.	0
15	15	listen	echolalia	1477734.666827	The misquote was retracted with an apology.	The misquote was retracted with an apology.	0
16	16	readRepeat	echolalia	1477743.666958208	I just saw Jim near the new archeological museum.	I just saw Jim near the new archeological museum.	0
16	16	listen	echolalia	1477756.112695041	I just saw Jim near the new archeological museum.	I just saw Jim near the new archeological museum.	0
17	17	readRepeat	echolalia	1477769.41807175	Right now may not be the best time for business mergers.	Right now may not be the best time for business mergers.	0
17	17	listen	echolalia	1477777.487728125	Right now may not be the best time for business mergers.	Right now may not be the best time for business mergers.	0
18	18	readRepeat	echolalia	1477786.37947575	The misprint provoked an immediate disclaimer.	The misprint provoked an immediate disclaimer.	0
18	18	listen	echolalia	1477794.817192666	The misprint provoked an immediate disclaimer.	The misprint provoked an immediate disclaimer.	0
19	19	readRepeat	echolalia	1477803.730420708	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
19	19	listen	echolalia	1477809.492245958	They all enjoy ice cream sundaes.	They all enjoy ice cream sundaes.	0
20	20	readRepeat	echolalia	1477815.879959416	Do atypical farmers grow oats?	Do atypical farmers grow oats?	0
20	20	listen	echolalia	1477823.142382333	Do atypical farmers grow oats?	Do atypical farmers grow oats?	0
0	0	break	break	1477831.279832833	break	break	break
1	21	readRepeat	shuffled	1477831.279832833	Addition and subtraction are learned skills.	How much allowance do you get?	0
1	21	listen	shuffled	1477847.802874041	Addition and subtraction are learned skills.	How much allowance do you get?	0
2	22	readRepeat	shuffled	1477854.430067583	How much allowance do you get?	Every cab needs repainting often.	0
2	22	listen	shuffled	1477860.154604958	How much allowance do you get?	Every cab needs repainting often.	0
3	23	readRepeat	shuffled	1477867.48926175	Cyclical programs will never compile.	I just saw Jim near the new archeological museum.	0
3	23	listen	shuffled	1477875.517561291	Cyclical programs will never compile.	I just saw Jim near the new archeological museum.	0
4	24	readRepeat	shuffled	1477889.030177166	The Boston Ballet overcame their funding shortage.	Do atypical farmers grow oats?	0
4	24	listen	shuffled	1477897.105285916	The Boston Ballet overcame their funding shortage.	Do atypical farmers grow oats?	0
5	25	readRepeat	shuffled	1477904.8158745	Every cab needs repainting often.	We like blue cheese but Victor likes brie.	0
5	25	listen	shuffled	1477911.155348625	Every cab needs repainting often.	We like blue cheese but Victor likes brie.	0
6	26	readRepeat	shuffled	1477918.655243416	Help Greg to pick a peck of potatoes.	They all enjoy ice cream sundaes.	0
6	26	listen	shuffled	1477925.255089083	Help Greg to pick a peck of potatoes.	They all enjoy ice cream sundaes.	0
7	27	readRepeat	shuffled	1477932.068123458	We like blue cheese but Victor likes brie.	How good is your endurance?	0
7	27	listen	shuffled	1477938.967977125	We like blue cheese but Victor likes brie.	How good is your endurance?	0
8	28	readRepeat	shuffled	1477945.46783025	Count the number of teaspoons of soysauce that you add.	The misquote was retracted with an apology.	0
8	28	listen	shuffled	1477953.055631166	Count the number of teaspoons of soysauce that you add.	The misquote was retracted with an apology.	0
9	29	readRepeat	shuffled	1477962.317984541	Bagpipes and bongos are musical instruments.	The Boston Ballet overcame their funding shortage.	0
9	29	listen	shuffled	1477969.55548875	Bagpipes and bongos are musical instruments.	The Boston Ballet overcame their funding shortage.	0
10	30	readRepeat	shuffled	1477977.743198958	How good is your endurance?	Addition and subtraction are learned skills.	0
10	30	listen	shuffled	1477983.330606041	How good is your endurance?	Addition and subtraction are learned skills.	0
11	31	readRepeat	shuffled	1477988.925961208	The essay undeniably reflects our view ably.	Count the number of teaspoons of soysauce that you add.	0
11	31	listen	shuffled	1477996.380635791	The essay undeniably reflects our view ably.	Count the number of teaspoons of soysauce that you add.	0
12	32	readRepeat	shuffled	1478004.6558395	A boring novel is a superb sleeping pill.	The willowy woman wore a muskrat coat.	0
12	32	listen	shuffled	1478011.843385666	A boring novel is a superb sleeping pill.	The willowy woman wore a muskrat coat.	0
13	33	readRepeat	shuffled	1478021.316216708	Orange juice tastes funny after toothpaste.	Right now may not be the best time for business mergers.	0
13	33	listen	shuffled	1478027.9184075	Orange juice tastes funny after toothpaste.	Right now may not be the best time for business mergers.	0
14	34	readRepeat	shuffled	1478036.54376775	The willowy woman wore a muskrat coat.	Cyclical programs will never compile.	0
14	34	listen	shuffled	1478043.743506666	The willowy woman wore a muskrat coat.	Cyclical programs will never compile.	0
15	35	readRepeat	shuffled	1478053.981137625	The misquote was retracted with an apology.	Orange juice tastes funny after toothpaste.	0
15	35	listen	shuffled	1478061.481618958	The misquote was retracted with an apology.	Orange juice tastes funny after toothpaste.	0
16	36	readRepeat	shuffled	1478068.568772833	I just saw Jim near the new archeological museum.	The essay undeniably reflects our view ably.	0
16	36	listen	shuffled	1478076.881246791	I just saw Jim near the new archeological museum.	The essay undeniably reflects our view ably.	0
17	37	readRepeat	shuffled	1478085.493353125	Right now may not be the best time for business mergers.	Help Greg to pick a peck of potatoes.	0
17	37	listen	shuffled	1478094.256307958	Right now may not be the best time for business mergers.	Help Greg to pick a peck of potatoes.	0
18	38	readRepeat	shuffled	1478102.477582625	The misprint provoked an immediate disclaimer.	The misprint provoked an immediate disclaimer.	0
18	38	listen	shuffled	1478109.131845	The misprint provoked an immediate disclaimer.	The misprint provoked an immediate disclaimer.	0
19	39	readRepeat	shuffled	1478118.101905	They all enjoy ice cream sundaes.	A boring novel is a superb sleeping pill.	0
19	39	listen	shuffled	1478125.881261708	They all enjoy ice cream sundaes.	A boring novel is a superb sleeping pill.	0
20	40	readRepeat	shuffled	1478134.818828458	Do atypical farmers grow oats?	Bagpipes and bongos are musical instruments.	0
20	40	listen	shuffled	1478141.906054291	Do atypical farmers grow oats?	Bagpipes and bongos are musical instruments.	0
